hek293	hela	k562
ENSG00000006831	1.90946412852219	2.43806745045349	2.11031810683638
ENSG00000156110	2.28361695095785	2.2792105126014	NA
ENSG00000148926	0.615033991239666	2.13417710757677	NA
ENSG00000101126	1.35123456986778	2.19312459835446	NA
ENSG00000163485	1.54327671651109	NA	NA
ENSG00000159322	2.01690473924771	2.41962536088774	NA
ENSG00000173020	2.07356625006981	2.53173430927655	NA
ENSG00000100077	1.91876496944899	2.228400358703	NA
ENSG00000130706	1.79591629187837	2.52400644555737	NA
ENSG00000239900	2.26754809867704	3.11260500153457	NA
ENSG00000035687	2.28053460923692	2.31597034545692	1.96768738050211
ENSG00000139154	1.74019475413531	2.2464985807958	NA
ENSG00000104964	2.23694725909951	3.08863214184632	NA
ENSG00000172493	1.97377680704646	2.26670196688409	NA
ENSG00000155966	1.98406601625183	NA	NA
ENSG00000072364	1.886789534561	2.4933186082321	NA
ENSG00000141385	2.02043798193908	2.75035408876271	2.15269140278309
ENSG00000183077	1.91477791544886	2.6144753660904	NA
ENSG00000038002	2.17977750616587	2.38021124171161	NA
ENSG00000157985	1.76829720061903	2.21590181320403	NA
ENSG00000164252	1.83155297135986	2.30059548388996	1.80990785018576
ENSG00000006530	2.33194157717288	2.68124123737559	NA
ENSG00000162688	2.36235679360034	2.95741571472267	NA
ENSG00000169692	1.83721948667626	2.79643555881017	2.26469922401955
ENSG00000160216	2.01562357908884	2.56702636615906	NA
ENSG00000026652	2.20324267052672	2.13987908640124	NA
ENSG00000155189	2.03919922987598	2.31597034545692	NA
ENSG00000188157	2.63801521215799	2.36361197989214	NA
ENSG00000135049	2.27957020933355	2.30059548388996	NA
ENSG00000153207	1.7872201705054	2.29402509409532	NA
ENSG00000101444	2.35093996000337	3.15836249209525	2.34997116086051
ENSG00000158467	2.29457450361789	2.73239375982297	NA
ENSG00000135541	2.06397263845845	2.20951501454263	NA
ENSG00000124942	2.00243715608868	2.81637388875236	NA
ENSG00000100591	2.07869778368275	2.75678819876812	NA
ENSG00000126878	2.36462213107929	NA	NA
ENSG00000156709	2.54920181075545	3.15836249209525	2.14905356840803
