EnsemblGeneID,GeneName,UniProtID,UniProtID_T,K,k,T50,ProteinHalfLife
ENSG00000142655,PEX14,O75381,O75381-2;O75381,0.019166638,#NUM!,36.16425542,NA
ENSG00000116161,CACYBP,Q9HB71,Q9HB71;Q9HB71-3,0.03491103,0.010587502,19.85467587,1.816031953
ENSG00000165487,MICU2,Q8IYU8,Q8IYU8,0.061653305,0.035708881,11.24266059,1.288049217
ENSG00000138381,ASNSD1,Q9NWL6,Q9NWL6,0.0602,0.03396,11.51407277,1.309857779
ENSG00000108591,DRG2,P55039,P55039,0.0241,0.002946727,28.7612938,2.371485559
ENSG00000130309,COLGALT1,Q8NBJ5,Q8NBJ5,0.0229,0.002259912,30.26843583,2.486734028
ENSG00000110090,CPT1A,P50416,P50416;P50416-2,0.0628,0.036913293,11.03737549,1.273642671
ENSG00000254470,AP5B1,Q2VPB7,Q2VPB7,0.110959452,0.085073893,6.246851149,0.911029157
ENSG00000224051,CPTP,Q5TA50,Q5TA50,0.051293957,0.025344471,13.51323283,1.436942234
ENSG00000115657,ABCB6,Q9NP58,Q9NP58-4;Q9NP58,0.018348297,#NUM!,37.77719444,NA
ENSG00000198171,DDRGK1,Q96HY6,Q96HY6;Q96HY6-2,0.032534597,0.01026,21.30492599,1.8296781
ENSG00000173193,PARP14,Q460N5,Q460N5-4;Q460N5-1;Q460N5;Q460N5-3;Q460N5-5,0.0593,0.03682,11.68882261,1.274741677
ENSG00000138036,DYNC2LI1,Q8TCX1,Q8TCX1-4;Q8TCX1-3;Q8TCX1;Q8TCX1-2;Q8TCX1-5,0.0539,0.02766,12.85987348,1.398973285
ENSG00000161888,SPC24,Q8NBT2,Q8NBT2;Q8NBT2-2,0.04504864,0.020569473,15.3866393,1.527602306
ENSG00000196636,SDHAF3,Q9NRP4,Q9NRP4,0.058011033,0.032093495,11.94854047,1.334408451
ENSG00000067182,TNFRSF1A,P19438,P19438-2;P19438,0.0162,#NUM!,42.786863,NA
ENSG00000213024,NUP62,P37198,P37198,0.03003165,0.00486,23.08055605,2.154189192
ENSG00000105875,WDR91,A4D1P6,A4D1P6-2;A4D1P6;A4D1P6-3,0.0335,0.010351696,20.69096061,1.825813972
ENSG00000144746,ARL6IP5,O75915,O75915,0.0308,0.00842,22.50477859,1.91551337
ENSG00000164975,SNAPC3,Q92966,Q92966,0.0739,0.05142,9.37952883,1.129693389
ENSG00000105085,MED26,O95402,O95402,0.0461,0.01986,15.0357306,1.542846217
ENSG00000242612,DECR2,Q9NUI1,Q9NUI1-3;Q9NUI1,0.024074883,0.02242,28.79129986,1.490189853
ENSG00000126216,TUBGCP3,Q96CW5,Q96CW5;Q96CW5-2;Q96CW5-3,0.0314,0.01039395,22.07475097,1.824044831
ENSG00000126254,RBM42,Q9BTD8,Q9BTD8-4;Q9BTD8-2;Q9BTD8-3;Q9BTD8,0.095224997,0.071725878,7.279046516,0.985149587
ENSG00000100442,FKBP3,Q00688,Q00688,0.0317,0.00867,21.86584166,1.902806364
ENSG00000020426,MNAT1,P51948,P51948-2;P51948,0.0832,0.05696,8.33109592,1.08525548
ENSG00000070601,FRMPD1,Q5SYB0,Q5SYB0,0.038504026,0.011359366,18.00194049,1.785471361
ENSG00000196878,LAMB3,Q13751,Q13751,0.474056959,0.449583313,1.462160122,0.188015278
ENSG00000168495,POLR3D,P05423,P05423,0.053035271,0.027724722,13.06955096,1.397958264
ENSG00000103966,EHD4,Q9H223,Q9H223,0.035493098,0.010485333,19.52906963,1.820243249
ENSG00000116786,PLEKHM2,Q8IWE5,Q8IWE5,0.047734579,0.023775016,14.52086098,1.464704638
ENSG00000198890,PRMT6,Q96LA8,Q96LA8;Q96LA8-2,0.0276,0.003421345,25.11402828,2.306628621
ENSG00000064012,CASP8,Q14790,Q14790-2;Q14790;Q14790-4;Q14790-9;Q14790-8;Q14790-7,0.037299866,0.014559657,18.58310112,1.677674329
ENSG00000137547,MRPL15,Q9P015,Q9P015,0.031595886,0.015752003,21.93789358,1.643489674
