EnsemblGeneID,GeneName.x,BCells_ProHL,NKCells_ProHL,Hepatocytes_ProHL,Monocytes_ProHL
ENSG00000175931,UBE2O,1.911485204,1.96123832,1.590930957,1.995209465
ENSG00000175970,UNC119B,1.751094258,NA,NA,1.641166624
ENSG00000176014,TUBB6,NA,NA,NA,1.810198903
ENSG00000176018,LYSMD3,1.6774792,NA,NA,NA
ENSG00000176022,B3GALT6,NA,NA,NA,NA
ENSG00000176049,JAKMIP2,NA,NA,NA,NA
ENSG00000176055,MBLAC2,2.016749285,2.094705158,NA,2.015665666
ENSG00000176058,TPRN,NA,NA,1.784535275,NA
ENSG00000176087,SLC35A4,NA,NA,NA,NA
ENSG00000176095,IP6K1,NA,NA,NA,1.584127601
ENSG00000176102,CSTF3,2.048709756,NA,1.868744332,1.958432476
ENSG00000176105,YES1,NA,NA,1.740615296,NA
ENSG00000176108,CHMP6,NA,NA,1.853445712,1.943437629
ENSG00000176148,TCP11L1,NA,NA,NA,1.746143589
ENSG00000176204,LRRTM4,NA,NA,NA,NA
ENSG00000176248,ANAPC2,1.379232978,1.407543858,1.4808761,1.478797288
ENSG00000176386,CDC26,NA,NA,NA,NA
ENSG00000176390,CRLF3,2.243749708,2.301852205,NA,2.03584982
ENSG00000176393,RNPEP,2.281624151,2.758795359,NA,2.130664993
ENSG00000176406,RIMS2,NA,NA,NA,NA
ENSG00000176407,KCMF1,1.64983119,NA,NA,NA
ENSG00000176410,DNAJC30,NA,2.091589587,NA,1.607422852
ENSG00000176422,SPRYD4,2.345959584,NA,2.42514442,NA
ENSG00000176438,SYNE3,1.933707416,2.257707367,1.936096338,2.035119417
ENSG00000176454,LPCAT4,NA,NA,NA,NA
ENSG00000176476,SGF29,NA,NA,NA,NA
ENSG00000176490,DIRAS1,NA,NA,NA,NA
ENSG00000176533,GNG7,2.280884408,NA,NA,NA
ENSG00000176619,LMNB2,3.090097853,3.492036148,2.605350305,2.590779995
ENSG00000176623,RMDN1,1.741986281,NA,1.789771027,2.117582815
ENSG00000176658,MYO1D,1.478436621,1.751486961,1.526261718,NA
ENSG00000176715,ACSF3,2.162798814,2.448780499,2.254712387,2.054913586
ENSG00000176720,BOK,NA,NA,2.068024363,NA
ENSG00000176783,RUFY1,1.995038178,2.145589487,1.72969518,1.807572232
ENSG00000176788,BASP1,1.998368334,NA,NA,2.030757545
ENSG00000176853,FAM91A1,NA,NA,1.813857755,1.696448131
ENSG00000176871,WSB2,NA,NA,NA,NA
ENSG00000176884,GRIN1,NA,NA,NA,NA
ENSG00000176915,ANKLE2,1.35305024,NA,1.672698063,1.581642507
ENSG00000176919,C8G,NA,NA,1.31126633,NA
ENSG00000176953,NFATC2IP,1.668707325,1.927785978,NA,1.51355052
ENSG00000176956,LY6H,NA,NA,NA,NA
ENSG00000176974,SHMT1,2.238276996,2.495108437,2.839291342,2.316408615
ENSG00000176978,DPP7,2.237762338,NA,2.124403139,2.067221549
ENSG00000176986,SEC24C,1.755787226,2.070207855,1.988935569,1.673730321
ENSG00000176994,SMCR8,NA,NA,1.706085932,1.754149493
ENSG00000177000,MTHFR,1.718277425,NA,NA,1.633028889
ENSG00000177034,MTX3,NA,NA,2.138899246,NA
ENSG00000177054,ZDHHC13,NA,NA,NA,NA
ENSG00000177103,DSCAML1,NA,NA,NA,NA
ENSG00000177105,RHOG,1.924108637,2.599458937,1.806196938,2.084601298
ENSG00000177106,EPS8L2,NA,NA,1.960984207,NA
